2008 Safari Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Checkpoint Legend,,,,,,,,,,,,,,,,,,,
53,   5th C-2,7411,"   John Amelio
   Jim Amelio
   John Amelio-tc",,13:45,,19:25,,20:45,,04:44,,16:16,,06:13,,12:56,,17:49,,09:51,,20:58,,05:15,,10:38
,,,,78,04:45,60,05:40,36,01:20,56,07:59,60,11:32,53,13:57,42,06:43,43,04:53,50,16:02,49,11:07,52,08:17,30,05:23
,,,,78,04:45,69,10:25,63,11:45,57,19:44,61,31:16,54,45:13,56,51:56,56,56:49,53,72:51,52,83:58,53,92:15,53,97:38
DNF,   Unl,911,"   John Bugge
   Efrain Cruz
   Jonathan Madrill
   Jerry Rhaburn
   Daniel Cruz
   Andres Cabb
   Megan Yeager-tc",,11:18,,14:34,,15:23,,17:37,,21:27,,02:37,,06:05,,07:56,,13:24,,,,,,
,,,,2,02:18,1,03:16,1,00:49,1,02:14,1,03:50,3,05:10,2,03:28,2,01:51,1,05:28,,,,,,
,,,,1,02:18,1,05:34,1,06:23,1,08:37,1,12:27,1,17:37,1,21:05,1,22:56,1,28:24,,,,,,
DNF,"   Tand
   Mast",667,"   West Hansen
   Richard Steppe
   Grady Hicks-tc",,13:49,,17:31,,18:27,,21:20,,02:09,,07:53,,11:49,,14:05,,,,,,,,
,,,,80,04:49,4,03:42,4,00:56,10,02:53,7,04:49,4,05:44,4,03:56,5,02:16,,,,,,,,
,,,,80,04:49,36,08:31,30,09:27,26,12:20,17,17:09,9,22:53,9,26:49,8,29:05,,,,,,,,
DNF,   Stand,555,"   Marvin Parker
   Luke Parker
   Lauren Fritts-tc",,12:30,,17:46,,19:06,,23:21,,07:16,,15:01,,20:53,,01:56,,,,,,,,
,,,,35,03:30,44,05:16,35,01:20,38,04:15,40,07:55,20,07:45,33,05:52,44,05:03,,,,,,,,
,,,,36,03:30,38,08:46,38,10:06,36,14:21,36,22:16,33,30:01,32,35:53,33,40:56,,,,,,,,
DNF,   Alum,420,"   Daniel Huebner
   Eddie Delarosa
   Anthony Stephenson-tc",,13:19,,19:05,,21:37,,02:22,,11:15,,21:52,,04:07,,13:10,,,,,,,,
,,,,64,04:19,67,05:46,71,02:32,45,04:45,51,08:53,48,10:37,38,06:15,57,09:03,,,,,,,,
,,,,65,04:19,66,10:05,69,12:37,50,17:22,46,26:15,45,36:52,43,43:07,47,52:10,,,,,,,,
DNF,   Tand,4129,"   Pat Stroka
   Wil Lee
   Laura Tennent-tc",,13:00,,18:48,,20:27,,07:09,,15:49,,07:27,,13:59,,,,,,,,,,
,,,,52,04:00,70,05:48,61,01:39,65,10:42,49,08:40,56,15:38,41,06:32,,,,,,,,,,
,,,,52,04:00,58,09:48,54,11:27,65,22:09,58,30:49,58,46:27,58,52:59,,,,,,,,,,
DNF,   Tand,17,"   Cory Laskoskie
   Phil Gumbert
   Robbie Trcka-tc",,11:47,,15:40,,16:41,,19:24,,00:10,,,,,,,,,,,,,,
,,,,7,02:47,7,03:53,9,01:01,5,02:43,6,04:46,,,,,,,,,,,,,,
,,,,7,02:47,7,06:40,6,07:41,6,10:24,6,15:10,,,,,,,,,,,,,,
DNF,   Nov,2003,"   Neil Delaney
   Barry Gunningham
   Drew Garzillo-tc",,13:15,,19:00,,20:34,,01:37,,09:34,,,,,,,,,,,,,,
,,,,62,04:15,66,05:45,58,01:34,47,05:03,41,07:57,,,,,,,,,,,,,,
,,,,62,04:15,63,10:00,59,11:34,48,16:37,43,24:34,,,,,,,,,,,,,,
DNF,   Nov,3321,"   Lee Bow
   Mike Lee
   Michael Ford-tc",,13:47,,19:29,,20:51,,05:46,,15:53,,,,,,,,,,,,,,
,,,,79,04:47,62,05:42,40,01:22,59,08:55,54,10:07,,,,,,,,,,,,,,
,,,,79,04:47,73,10:29,66,11:51,58,20:46,59,30:53,,,,,,,,,,,,,,
DNF,   Solo,13,"   Mike Drost
    Meyer-tc",,11:55,,16:04,,17:11,,20:13,,,,,,,,,,,,,,,,
,,,,14,02:55,15,04:09,17,01:07,17,03:02,,,,,,,,,,,,,,,,
,,,,12,02:55,13,07:04,12,08:11,12,11:13,,,,,,,,,,,,,,,,
DNF,   Solo,70,"   Bruce Abbitt
   Dan Cary-tc",,12:58,,18:28,,19:51,,23:55,,,,,,,,,,,,,,,,
,,,,50,03:58,52,05:30,42,01:23,36,04:04,,,,,,,,,,,,,,,,
,,,,50,03:58,53,09:28,48,10:51,40,14:55,,,,,,,,,,,,,,,,
DNF,   Stand,1027,"   Michael Baker
   Nathanial Rainey
   Kellie Hill-tc",,12:46,,18:19,,19:51,,01:28,,,,,,,,,,,,,,,,
,,,,42,03:46,55,05:33,54,01:32,50,05:37,,,,,,,,,,,,,,,,
,,,,42,03:46,47,09:19,49,10:51,47,16:28,,,,,,,,,,,,,,,,
DNF,   Unl,7750,"   Tom King
   Dustin Miracle
   Marvin Troyer
   Matt McLaughlin
   Jessie Allen-tc",,13:17,,18:55,,20:36,,02:27,,,,,,,,,,,,,,,,
,,,,63,04:17,59,05:38,64,01:41,51,05:51,,,,,,,,,,,,,,,,
,,,,63,04:17,61,09:55,61,11:36,51,17:27,,,,,,,,,,,,,,,,
DNF,   Tand,7553,"   Brian Carson
   Matthew Carson
   Allen Carson-tc",,13:59,,19:28,,21:37,,06:15,,,,,,,,,,,,,,,,
,,,,84,04:59,51,05:29,69,02:09,58,08:38,,,,,,,,,,,,,,,,
,,,,84,04:59,71,10:28,71,12:37,62,21:15,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",7070,"   John Stockwell
   Virginia Stockwell-tc",,13:14,,19:02,,20:38,,07:53,,,,,,,,,,,,,,,,
,,,,60,04:14,68,05:48,60,01:36,66,11:15,,,,,,,,,,,,,,,,
,,,,61,04:14,65,10:02,62,11:38,66,22:53,,,,,,,,,,,,,,,,
DNF,   Solo,1264,"   Stephen Logan
   Willie Younger-tc",,13:37,,19:10,,20:50,,08:08,,,,,,,,,,,,,,,,
,,,,71,04:37,56,05:33,62,01:40,67,11:18,,,,,,,,,,,,,,,,
,,,,70,04:37,68,10:10,65,11:50,67,23:08,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",119,"   Roger Zimmerman
   Norris Teague-tc",,13:40,,19:28,,21:37,,09:22,,,,,,,,,,,,,,,,
,,,,74,04:40,69,05:48,70,02:09,69,11:45,,,,,,,,,,,,,,,,
,,,,74,04:40,72,10:28,70,12:37,69,24:22,,,,,,,,,,,,,,,,
DNF,"   Solo Unlimied
   Mast",2001,"   Norm Thomas
   Brenda Thomas-tc",,13:11,,18:53,,20:33,,09:42,,,,,,,,,,,,,,,,
,,,,58,04:11,64,05:42,63,01:40,70,13:09,,,,,,,,,,,,,,,,
,,,,57,04:11,60,09:53,57,11:33,70,24:42,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",19,"   Geoff Waters
   Matt Short-tc",,12:15,,16:44,,18:06,,,,,,,,,,,,,,,,,,
,,,,26,03:15,26,04:29,39,01:22,,,,,,,,,,,,,,,,,,
,,,,26,03:15,24,07:44,26,09:06,,,,,,,,,,,,,,,,,,
DNF,   Tand,777,"   David Kelley
   Carter Johnson
   ? Johnson-tc",,11:37,,15:39,,,,,,,,,,,,,,,,,,,,
,,,,6,02:37,10,04:02,,,,,,,,,,,,,,,,,,,,
,,,,6,02:37,6,06:39,,,,,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",1876,"   Kennith Startz
   Laura Startz-tc",,11:50,,15:52,,,,,,,,,,,,,,,,,,,,
,,,,8,02:50,9,04:02,,,,,,,,,,,,,,,,,,,,
,,,,9,02:50,8,06:52,,,,,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",1959,"   Mark Elvig
   Hick Hawkins-tc",,13:19,,,,,,,,,,,,,,,,,,,,,,
,,,,65,04:19,,,,,,,,,,,,,,,,,,,,,,
,,,,64,04:19,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,301,"   Philip Ward
   Danny Bihl
   Victor Ward-tc",,13:29,,,,,,,,,,,,,,,,,,,,,,
,,,,67,04:29,,,,,,,,,,,,,,,,,,,,,,
,,,,67,04:29,,,,,,,,,,,,,,,,,,,,,,
DNF,   Unl,220,"   Owen West
   Eric West
   Alex West
   Sheila Rhodes-tc",,13:37,,,,,,,,,,,,,,,,,,,,,,
,,,,70,04:37,,,,,,,,,,,,,,,,,,,,,,
,,,,71,04:37,,,,,,,,,,,,,,,,,,,,,,
DNF,"   Unl
   Mast",1985,"   Alan Pickett
   Dan Pickett
   Will Kier
   Kyle Eleuterius-tc",,13:38,,,,,,,,,,,,,,,,,,,,,,
,,,,73,04:38,,,,,,,,,,,,,,,,,,,,,,
,,,,72,04:38,,,,,,,,,,,,,,,,,,,,,,
DNF,   Nov,1313,"   Larry Rice
   Marc McCord
   Bryan Jackson-tc",,13:38,,,,,,,,,,,,,,,,,,,,,,
,,,,72,04:38,,,,,,,,,,,,,,,,,,,,,,
,,,,73,04:38,,,,,,,,,,,,,,,,,,,,,,
DNF,"   Nov
   Mast",6677,"   Kelly Nicholson
   Mike Sullivan
   Stuart Hansmann-tc",,13:42,,,,,,,,,,,,,,,,,,,,,,
,,,,75,04:42,,,,,,,,,,,,,,,,,,,,,,
,,,,75,04:42,,,,,,,,,,,,,,,,,,,,,,
DNF,   Nov,5532,"   Greg Jackson
   Kenny Freed
   Tura Freed-tc",,13:44,,,,,,,,,,,,,,,,,,,,,,
,,,,77,04:44,,,,,,,,,,,,,,,,,,,,,,
,,,,76,04:44,,,,,,,,,,,,,,,,,,,,,,
DNF,   Unl,2727,"   Steven Parker
   Richard Price
   Jeff Parker
   Janet Parker-tc",,13:44,,,,,,,,,,,,,,,,,,,,,,
,,,,76,04:44,,,,,,,,,,,,,,,,,,,,,,
,,,,77,04:44,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,1811,"   Ken Mast
   Roque Lopez
   Deanna McCarthy-tc",,13:50,,,,,,,,,,,,,,,,,,,,,,
,,,,81,04:50,,,,,,,,,,,,,,,,,,,,,,
,,,,81,04:50,,,,,,,,,,,,,,,,,,,,,,
DNF,   Unl,7593,"   Stephanye Gibson
   Ryan Abraham
   Frank Dieble
   Wesley Abraham-tc",,13:55,,,,,,,,,,,,,,,,,,,,,,
,,,,82,04:55,,,,,,,,,,,,,,,,,,,,,,
,,,,82,04:55,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,5515,"   Gregory Scott
   Ricky Jensen
   Teresa Scott-tc",,13:59,,,,,,,,,,,,,,,,,,,,,,
,,,,85,04:59,,,,,,,,,,,,,,,,,,,,,,
,,,,83,04:59,,,,,,,,,,,,,,,,,,,,,,
DNF,"   C-1
   Mast",1310,"   Barry Brown
   Cindy Brown-tc",,13:59,,,,,,,,,,,,,,,,,,,,,,
,,,,83,04:59,,,,,,,,,,,,,,,,,,,,,,
,,,,85,04:59,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,618,"   Brian Smith
   Bobby Peel
   Allen Barnett-tc",,14:00,,,,,,,,,,,,,,,,,,,,,,
,,,,86,05:00,,,,,,,,,,,,,,,,,,,,,,
,,,,86,05:00,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,106,"   CJ Hall
   Ian Hall
   Lorna Hall-tc",,14:17,,,,,,,,,,,,,,,,,,,,,,
,,,,87,05:17,,,,,,,,,,,,,,,,,,,,,,
,,,,87,05:17,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,6969,"   William Coker
   Philip Doskocil
   Daniel Snow-tc",,14:27,,,,,,,,,,,,,,,,,,,,,,
,,,,88,05:27,,,,,,,,,,,,,,,,,,,,,,
,,,,88,05:27,,,,,,,,,,,,,,,,,,,,,,
DNF,   C-2,9,"   Jon Schoepflin
   Stacy Greer
   Danny Cantu-tc",,14:34,,,,,,,,,,,,,,,,,,,,,,
,,,,89,05:34,,,,,,,,,,,,,,,,,,,,,,
,,,,89,05:34,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,9053,"   Brian Bickerstaff
   Jason Bickerstaff
   Janie Bickerstaff-tc",,14:35,,,,,,,,,,,,,,,,,,,,,,
,,,,91,05:35,,,,,,,,,,,,,,,,,,,,,,
,,,,93,05:35,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,1676,"   William Mitchell
   Charles Mitchell
   Samantha Mitchell-tc",,14:35,,,,,,,,,,,,,,,,,,,,,,
,,,,90,05:35,,,,,,,,,,,,,,,,,,,,,,
,,,,92,05:35,,,,,,,,,,,,,,,,,,,,,,
DNF,"   Solo
   Mast",76,"   Matthew Mitchell
   Honey Mitchell-tc",,14:35,,,,,,,,,,,,,,,,,,,,,,
,,,,92,05:35,,,,,,,,,,,,,,,,,,,,,,
,,,,90,05:35,,,,,,,,,,,,,,,,,,,,,,
DNF,   Nov,123,"   Chris Horner
   Ben Monk
   Tommy Horner-tc",,14:35,,,,,,,,,,,,,,,,,,,,,,
,,,,93,05:35,,,,,,,,,,,,,,,,,,,,,,
,,,,91,05:35,,,,,,,,,,,,,,,,,,,,,,
DNF,   Solo,1984,"   Bruce Trainum
   Sandy Trainum-tc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,   Tand,881,"   Michael Vandeveer
   Tim Vandeveer
   Ricky Sommer-tc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
