,,,,,,,,,,,,2010 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,"GLOS, JANIE",,23,3:03:00,20,3:42:00,30,1:13:00,31,2:50:00,23,5:04:00,21,6:18:00,45,5:11:00,19,2:18:00,7,5:41:00,69,11:20:00,38,6:01:00,65,17:48:00
,,,"STAUSS, GINSIE",,23,3:03:00,22,6:45:00,22,7:58:00,25,10:48:00,22,15:52:00,21,22:10:00,23,27:21:00,21,29:39:00,19,35:20:00,25,46:40:00,29,52:41:00,33,70:29:00
,,,"TC - COFFMAN, RENEE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2ND WOMENS,746,"TAYLOR, NATALIE",9:00, ,12:32:00, ,16:52:00, ,18:05:00, ,21:06:00, ,3:11:00, ,10:18:00, ,15:29:00, ,18:18:00, ,2:33:00, ,9:49:00, ,16:48:00, ,7:42:00
,,,"PARKER, VIRGINIA",,50,3:32:00,49,4:20:00,30,1:13:00,43,3:01:00,40,6:05:00,35,7:07:00,44,5:11:00,42,2:49:00,35,8:15:00,37,7:16:00,53,6:59:00,57,14:54:00
,,,"TC - THUSS, WENDEL",,50,3:32:00,50,7:52:00,45,9:05:00,42,12:06:00,39,18:11:00,38,25:18:00,38,30:29:00,37,33:18:00,34,41:33:00,34,48:49:00,36,55:48:00,35,70:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5TH ALUMINUM,1620,"MOSS, HOYT",9:00, ,12:17:00, ,16:30:00, ,17:46:00, ,20:42:00, ,2:23:00, ,8:56:00, ,13:30:00, ,16:23:00, ,3:49:00, ,10:54:00, ,16:16:00, ,7:42:00
,,,"JACOBS, GRANT",,37,3:17:00,40,4:13:00,37,1:16:00,37,2:56:00,33,5:41:00,24,6:33:00,26,4:34:00,45,2:53:00,58,11:26:00,34,7:05:00,28,5:22:00,61,15:26:00
,,,"TC - CHAPMAN, CHARLES",,37,3:17:00,39,7:30:00,40,8:46:00,39,11:42:00,36,17:23:00,31,23:56:00,29,28:30:00,30,31:23:00,38,42:49:00,36,49:54:00,35,55:16:00,34,70:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12TH UNLIMITED,424,"WEBER, JIM",9:00, ,12:15:00, ,16:03:00, ,17:14:00, ,20:11:00, ,1:57:00, ,9:14:00, ,13:55:00, ,17:37:00, ,6:32:00, ,12:49:00, ,18:31:00, ,9:40:00
,,,"WEBER, MYLA",,34,3:15:00,24,3:48:00,24,1:11:00,40,2:57:00,36,5:46:00,40,7:17:00,29,4:41:00,61,3:42:00,62,12:55:00,20,6:17:00,35,5:42:00,59,15:09:00
,,,"WEBER, CAYLA",,34,3:15:00,29,7:03:00,28,8:14:00,31,11:11:00,33,16:57:00,34,24:14:00,32,28:55:00,36,32:37:00,41,45:32:00,38,51:49:00,39,57:31:00,36,72:40:00
,,,"TC - WEBER, COURTNEY",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5TH SOLO,77,"HARLAN, KENT",9:00, ,11:53:00, ,15:36:00, ,16:49:00, ,19:47:00, ,1:00:00, ,7:33:00, ,12:10:00, ,14:45:00, ,22:17:00, ,7:41:00, ,13:07:00, ,9:45:00
,,,"TC - HARLAN, KERRI",,18,2:53:00,21,3:43:00,30,1:13:00,42,2:58:00,26,5:13:00,23,6:33:00,28,4:37:00,28,2:35:00,24,7:32:00,63,9:24:00,30,5:26:00,67,20:38:00
,,,,,18,2:53:00,17,6:36:00,20,7:49:00,24,10:47:00,24,16:00:00,23,22:33:00,22,27:10:00,23,29:45:00,22,37:17:00,26,46:41:00,27,52:07:00,37,72:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4TH NOVICE,324,"TECCI, MICHAEL",9:00, ,12:31:00, ,16:52:00, ,18:10:00, ,21:36:00, ,5:06:00, ,12:57:00, ,18:06:00, ,20:59:00, ,7:51:00, ,14:56:00, ,20:57:00, ,9:50:00
,,,"HAMBLY, MAX",,48,3:31:00,52,4:21:00,42,1:18:00,54,3:26:00,52,7:30:00,47,7:51:00,43,5:09:00,44,2:53:00,55,10:52:00,34,7:05:00,39,6:01:00,54,12:53:00
,,,"TC - MCLANAHAN, SHEA",,48,3:31:00,50,7:52:00,49,9:10:00,49,12:36:00,46,20:06:00,45,27:57:00,44,33:06:00,44,35:59:00,43,46:51:00,42,53:56:00,42,59:57:00,38,72:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4TH TANDEM,5311,"JOHNSON, CHRISTINE",9:00, ,12:53:00, ,17:15:00, ,18:35:00, ,22:02:00, ,6:40:00, ,14:04:00, ,19:44:00, ,22:30:00, ,8:31:00, ,14:51:00, ,20:22:00, ,10:21:00
,,,"MEYER, PHIL",,66,3:53:00,53,4:22:00,44,1:20:00,55,3:27:00,62,8:38:00,41,7:24:00,51,5:40:00,39,2:46:00,51,10:01:00,22,6:20:00,32,5:31:00,55,13:59:00
,,,"TC - HARMON, MONICA",,66,3:53:00,58,8:15:00,54,9:35:00,54,13:02:00,52,21:40:00,48,29:04:00,48,34:44:00,47,37:30:00,44,47:31:00,41,53:51:00,41,59:22:00,39,73:21:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3RD C-2,120,"ABBITT, BRUCE",9:00, ,13:01:00, ,17:40:00, ,19:19:00, ,22:55:00, ,9:18:00, ,17:58:00, ,22:58:00, ,8:57:00, ,17:22:00, ,0:41:00, ,5:26:00, ,10:49:00
,,,"CORY, WILLIAM",,69,4:01:00,65,4:39:00,64,1:39:00,57,3:36:00,79,10:23:00,62,8:40:00,36,5:00:00,75,9:59:00,38,8:25:00,38,7:19:00,19,4:45:00,12,5:23:00
,,,"TC - LANG, JEREMY",,69,4:01:00,65,8:40:00,64,10:19:00,62,13:55:00,63,24:18:00,61,32:58:00,58,37:58:00,58,47:57:00,58,56:22:00,55,63:41:00,45,68:26:00,40,73:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2ND C-1,802,"BROWN, ANDY",9:00, ,13:07:00, ,17:44:00, ,19:25:00, ,23:07:00, ,6:43:00, ,16:58:00, ,23:43:00, ,4:21:00, ,14:18:00, ,22:30:00, ,4:51:00, ,10:58:00
,,,"TC - BROWN, JENNIFER",,71,4:07:00,64,4:37:00,65,1:41:00,60,3:42:00,53,7:36:00,67,10:15:00,63,6:45:00,69,4:38:00,50,9:57:00,48,8:12:00,42,6:21:00,19,6:07:00
,,,,,71,4:07:00,66,8:44:00,65,10:25:00,64,14:07:00,53,21:43:00,58,31:58:00,59,38:43:00,53,43:21:00,53,53:18:00,49,61:30:00,44,67:51:00,41,73:58:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6TH ALUMINUM,4016,"GIBSON, GARY",9:00, ,12:28:00, ,16:48:00, ,18:05:00, ,21:18:00, ,6:00:00, ,11:50:00, ,17:31:00, ,20:21:00, ,5:11:00, ,12:50:00, ,19:33:00, ,11:13:00
,,,"GIBSON, KRISTEN",,47,3:28:00,49,4:20:00,39,1:17:00,46,3:13:00,65,8:42:00,10,5:50:00,52,5:41:00,43,2:50:00,41,8:50:00,42,7:39:00,48,6:43:00,62,15:40:00
,,,"TC - LARA, AUGUSTINE",,47,3:28:00,46,7:48:00,45,9:05:00,45,12:18:00,49,21:00:00,43,26:50:00,42,32:31:00,43,35:21:00,40,44:11:00,39,51:50:00,40,58:33:00,42,74:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4TH C-2,213,"SANDERFORD, JAMIE",9:00, ,12:43:00, ,17:03:00, ,18:38:00, ,22:03:00, ,7:12:00, ,15:08:00, ,19:37:00, ,22:17:00, ,9:04:00, ,15:32:00, ,20:57:00, ,11:16:00
,,,"SANDERFORD, BRIAN",,58,3:43:00,49,4:20:00,57,1:35:00,53,3:25:00,70,9:09:00,49,7:56:00,22,4:29:00,37,2:40:00,54,10:47:00,23,6:28:00,29,5:25:00,56,14:19:00
,,,"TC - SANDERFORD, ANNE",,58,3:43:00,53,8:03:00,55,9:38:00,55,13:03:00,54,22:12:00,53,30:08:00,46,34:37:00,45,37:17:00,45,48:04:00,43,54:32:00,42,59:57:00,43,74:16:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5TH NOVICE,8008,"DAVIS, DANIEL",9:00, ,12:39:00, ,17:10:00, ,19:00:00, ,22:36:00, ,8:18:00, ,16:56:00, ,22:15:00, ,4:04:00, ,13:44:00, ,22:59:00, ,5:35:00, ,11:45:00
,,,"WIATREK, DAVID",,55,3:39:00,61,4:31:00,68,1:50:00,58,3:36:00,74,9:42:00,61,8:38:00,47,5:19:00,70,5:49:00,47,9:40:00,60,9:15:00,46,6:36:00,20,6:10:00
,,,"TC - BISHOP, THERESA",,55,3:39:00,57,8:10:00,60,10:00:00,59,13:36:00,60,23:18:00,57,31:56:00,55,37:15:00,52,43:04:00,52,52:44:00,51,61:59:00,46,68:35:00,44,74:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5TH C-2,177,"LOTZ, CHRIS",9:00, ,12:18:00, ,16:32:00, ,17:44:00, ,20:48:00, ,5:42:00, ,13:47:00, ,19:34:00, ,22:19:00, ,15:33:00, ,0:13:00, ,6:24:00, ,12:41:00
,,,"LOTZ, BRADY",,39,3:18:00,41,4:14:00,26,1:12:00,44,3:04:00,66,8:54:00,53,8:05:00,54,5:47:00,38,2:45:00,72,17:14:00,54,8:40:00,41,6:11:00,22,6:17:00
,,,"TC - LOTZ, LYNN",,39,3:18:00,40,7:32:00,39,8:44:00,40,11:48:00,47,20:42:00,47,28:47:00,45,34:34:00,46,37:19:00,55,54:33:00,53,63:13:00,50,69:24:00,45,75:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3RD C-1,21,"BINION, PETE",9:00, ,12:12:00, ,16:07:00, ,17:27:00, ,20:20:00, ,1:57:00, ,9:10:00, ,13:39:00, ,16:16:00, ,0:16:00, ,8:49:00, ,15:38:00, ,12:56:00
,,,"TC - HICKS, GRADY",,33,3:12:00,33,3:55:00,44,1:20:00,33,2:53:00,30,5:37:00,38,7:13:00,22,4:29:00,31,2:37:00,32,8:00:00,53,8:33:00,52,6:49:00,68,21:18:00
,,,,,33,3:12:00,32,7:07:00,33,8:27:00,33,11:20:00,33,16:57:00,33,24:10:00,31,28:39:00,29,31:16:00,29,39:16:00,30,47:49:00,33,54:38:00,46,75:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6TH SOLO,33,"STEWART, CHARLIE",9:00, ,12:25:00, ,16:40:00, ,17:52:00, ,21:58:00, ,7:41:00, ,15:32:00, ,0:56:00, ,4:50:00, ,13:41:00, ,0:13:00, ,6:59:00, ,13:02:00
,,,"TC - NELSON, ROGER`",,43,3:25:00,43,4:15:00,26,1:12:00,68,4:06:00,75,9:43:00,48,7:51:00,70,9:24:00,66,3:54:00,42,8:51:00,66,10:32:00,50,6:46:00,16,6:03:00
,,,,,43,3:25:00,42,7:40:00,41,8:52:00,51,12:58:00,57,22:41:00,55,30:32:00,60,39:56:00,54,43:50:00,51,52:41:00,53,63:13:00,53,69:59:00,47,76:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4TH C-1,565,"FORD, TODD",9:00, ,12:52:00, ,17:56:00, ,19:52:00, ,23:40:00, ,8:19:00, ,17:40:00, ,22:41:00, ,6:17:00, ,16:05:00, ,23:28:00, ,6:11:00, ,13:12:00
,,,"TC - HAYNES, RANDY",,64,3:52:00,75,5:04:00,72,1:56:00,63,3:48:00,64,8:39:00,65,9:21:00,37,5:01:00,72,7:36:00,49,9:48:00,40,7:23:00,48,6:43:00,27,7:01:00
,,,,,64,3:52:00,69,8:56:00,67,10:52:00,65,14:40:00,61,23:19:00,59,32:40:00,56,37:41:00,57,45:17:00,56,55:05:00,52,62:28:00,49,69:11:00,48,76:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6TH NOVICE,1123,"LONERGAN, DEREK",9:00, ,12:31:00, ,16:48:00, ,18:09:00, ,21:30:00, ,7:19:00, ,14:27:00, ,19:43:00, ,22:40:00, ,13:03:00, ,20:26:00, ,6:58:00, ,13:13:00
,,,"LABELLE, TYLER",,48,3:31:00,46,4:17:00,48,1:21:00,50,3:21:00,76,9:49:00,37,7:08:00,46,5:16:00,49,2:57:00,65,14:23:00,39,7:23:00,65,10:32:00,21,6:15:00
,,,"TC - RHEA, MICHAEL",,48,3:31:00,46,7:48:00,48,9:09:00,48,12:30:00,56,22:19:00,49,29:27:00,47,34:43:00,49,37:40:00,49,52:03:00,47,59:26:00,52,69:58:00,49,76:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3RD WOMENS,6561,"CANNON, DONNA",9:00, ,12:27:00, ,16:42:00, ,18:00:00, ,21:22:00, ,4:05:00, ,12:38:00, ,20:27:00, ,0:15:00, ,11:53:00, ,19:04:00, ,6:33:00, ,14:18:00
,,,"JONES, BRENDA",,45,3:27:00,42,4:15:00,42,1:18:00,51,3:22:00,44,6:43:00,59,8:33:00,66,7:49:00,64,3:48:00,60,11:38:00,36,7:11:00,67,11:29:00,36,7:45:00
,,,"TC - JONES, ED",,45,3:27:00,43,7:42:00,44,9:00:00,46,12:22:00,42,19:05:00,44,27:38:00,53,35:27:00,50,39:15:00,48,50:53:00,45,58:04:00,51,69:33:00,50,77:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,6TH C-2,2112,"SMITH, MIKE",9:00, ,12:49:00, ,17:18:00, ,18:54:00, ,22:39:00, ,7:46:00, ,14:50:00, ,19:59:00, ,5:10:00, ,13:34:00, ,20:26:00, ,5:58:00, ,14:31:00
,,,"DELAROSA, EDDIE",,61,3:49:00,57,4:29:00,59,1:36:00,62,3:45:00,69,9:07:00,33,7:04:00,42,5:09:00,74,9:11:00,37,8:24:00,29,6:52:00,62,9:32:00,42,8:33:00
,,,"TC - SMITH, JOHANNA",,61,3:49:00,61,8:18:00,59,9:54:00,61,13:39:00,58,22:46:00,51,29:50:00,50,34:59:00,55,44:10:00,50,52:34:00,47,59:26:00,47,68:58:00,51,77:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7TH NOVICE,777,"SMITH, WENDELL",9:00, ,12:42:00, ,17:17:00, ,19:05:00, ,22:37:00, ,7:15:00, ,15:35:00, ,21:39:00, ,5:37:00, ,14:34:00, ,22:46:00, ,5:58:00, ,15:43:00
,,,"RYAN, TRES",,57,3:42:00,63,4:35:00,67,1:48:00,56,3:32:00,63,8:38:00,55,8:20:00,57,6:04:00,73,7:58:00,43,8:57:00,48,8:12:00,54,7:12:00,49,9:45:00
,,,"TC - MILLER, MARK",,57,3:42:00,59,8:17:00,62,10:05:00,60,13:37:00,55,22:15:00,56,30:35:00,54,36:39:00,56,44:37:00,54,53:34:00,50,61:46:00,47,68:58:00,52,78:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1ST W SOLO,343,"HILKER, SAMANTHA",9:00, ,12:23:00, ,16:48:00, ,17:54:00, ,21:09:00, ,4:55:00, ,13:30:00, ,19:45:00, ,22:40:00, ,10:17:00, ,17:56:00, ,10:26:00, ,17:50:00
,,,"TC - BINION, MOLLIE",,42,3:23:00,56,4:25:00,16,1:06:00,47,3:15:00,54,7:46:00,60,8:35:00,60,6:15:00,48,2:55:00,59,11:37:00,43,7:39:00,72,16:30:00,31,7:24:00
,,,,,42,3:23:00,46,7:48:00,43,8:54:00,43,12:09:00,44,19:55:00,46,28:30:00,49,34:45:00,48,37:40:00,46,49:17:00,44,56:56:00,55,73:26:00,53,80:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,8TH NOVICE,8486,"BREADNER, SAM",9:00, ,13:05:00, ,18:01:00, ,20:07:00, ,5:57:00, ,12:50:00, ,21:34:00, ,7:28:00, ,10:17:00, ,20:31:00, ,5:51:00, ,10:55:00, ,18:42:00
,,,"WILLMON, CASEY",,70,4:05:00,70,4:56:00,76,2:06:00,79,9:50:00,49,6:53:00,63,8:44:00,71,9:54:00,41,2:49:00,52,10:14:00,62,9:20:00,25,5:04:00,39,7:47:00
,,,"TC - BARRETT, BILL",,70,4:05:00,70,9:01:00,69,11:07:00,75,20:57:00,69,27:50:00,67,36:34:00,64,46:28:00,62,49:17:00,61,59:31:00,56,68:51:00,56,73:55:00,54,81:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13TH UNLIMITED,3734,"FREY, BRIAN",9:00, ,13:14:00, ,18:22:00, ,20:22:00, ,0:43:00, ,12:13:00, ,19:59:00, ,7:35:00, ,10:36:00, ,19:47:00, ,6:22:00, ,11:00:00, ,19:30:00
,,,"FREY, SARAH",,76,4:14:00,76,5:08:00,74,2:00:00,72,4:21:00,80,11:30:00,45,7:46:00,76,11:36:00,51,3:01:00,45,9:11:00,67,10:35:00,17,4:38:00,41,8:30:00
,,,"RUMBO, CHELSEA",,76,4:14:00,76,9:22:00,74,11:22:00,70,15:43:00,68,27:13:00,62,34:59:00,65,46:35:00,63,49:36:00,60,58:47:00,57,69:22:00,57,74:00:00,55,82:30:00
,,,"TC - FLORES, AARON",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7TH SOLO,2780,"WARD, JAMES",9:00, ,12:37:00, ,17:07:00, ,18:41:00, ,21:50:00, ,5:42:00, ,14:52:00, ,20:24:00, ,0:15:00, ,11:09:00, ,19:18:00, ,7:01:00, ,19:31:00
,,,"TC - WARD, JANET",,53,3:37:00,60,4:30:00,56,1:34:00,45,3:09:00,56,7:52:00,64,9:10:00,50,5:32:00,65,3:51:00,57,10:54:00,47,8:09:00,70,11:43:00,53,12:30:00
,,,,,53,3:37:00,56,8:07:00,57,9:41:00,50,12:50:00,47,20:42:00,52,29:52:00,51,35:24:00,51,39:15:00,47,50:09:00,46,58:18:00,54,70:01:00,56,82:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,14TH UNLIMITED,728,"DUCKETT, BENJAMIN",9:00, ,12:35:00, ,16:47:00, ,18:07:00, ,21:29:00, ,9:48:00, ,17:48:00, ,22:56:00, ,9:15:00, ,17:23:00, ,8:35:00, ,13:45:00, ,19:50:00
,,,"FOX, JAY",,52,3:35:00,39,4:12:00,44,1:20:00,51,3:22:00,82,12:19:00,51,8:00:00,41,5:08:00,76,10:19:00,33,8:08:00,72,15:12:00,26,5:10:00,17,6:05:00
,,,"COMBS, DAVID",,52,3:35:00,45,7:47:00,47,9:07:00,47,12:29:00,65,24:48:00,60,32:48:00,57,37:56:00,60,48:15:00,59,56:23:00,61,71:35:00,60,76:45:00,57,82:50:00
,,,"TC - HARRIS, CONSTANCE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,8TH SOLO,9969,"MCGUIRE, MICHAEL",9:00, ,12:27:00, ,16:43:00, ,18:19:00, ,22:03:00, ,4:55:00, ,15:20:00, ,6:23:00, ,9:01:00, ,17:18:00, ,7:06:00, ,13:40:00, ,21:29:00
,,,"TC - MCGUIRE, MICHAEL",,45,3:27:00,44,4:16:00,59,1:36:00,61,3:44:00,48,6:52:00,68,10:25:00,77,15:03:00,33,2:38:00,36,8:17:00,71,13:48:00,45,6:34:00,40,7:49:00
,,,,,45,3:27:00,44,7:43:00,51,9:19:00,55,13:03:00,44,19:55:00,54,30:20:00,61,45:23:00,59,48:01:00,57,56:18:00,59,70:06:00,59,76:40:00,58,84:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9TH NOVICE,3321,"BOW, JOHN",9:00, ,13:11:00, ,18:03:00, ,19:56:00, ,6:30:00, ,12:50:00, ,20:30:00, ,7:15:00, ,10:10:00, ,21:52:00, ,7:23:00, ,15:35:00, ,22:04:00
,,,"LEE, MIKE",,74,4:11:00,69,4:52:00,70,1:53:00,84,10:34:00,43,6:20:00,44,7:40:00,74,10:45:00,47,2:55:00,61,11:42:00,64,9:31:00,58,8:12:00,24,6:29:00
,,,"TC - FORD, MICHAEL",,74,4:11:00,72,9:03:00,68,10:56:00,77,21:30:00,69,27:50:00,65,35:30:00,63,46:15:00,61,49:10:00,64,60:52:00,60,70:23:00,61,78:35:00,59,85:04:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,15TH UNLIMITED,220,"WEST, OWEN",9:00, ,13:15:00, ,18:25:00, ,20:42:00, ,5:53:00, ,13:44:00, ,0:15:00, ,8:31:00, ,12:00:00, ,21:42:00, ,6:53:00, ,13:35:00, ,22:10:00
,,,"WEST, ERIC",,78,4:15:00,77,5:10:00,79,2:17:00,75,9:11:00,55,7:51:00,69,10:31:00,67,8:16:00,57,3:29:00,48,9:42:00,58,9:11:00,47,6:42:00,43,8:35:00
,,,"WEST, ALEX",,78,4:15:00,77,9:25:00,77,11:42:00,74,20:53:00,74,28:44:00,69,39:15:00,67,47:31:00,66,51:00:00,63,60:42:00,58,69:53:00,58,76:35:00,60,85:10:00
,,,"TC - LUNSFORD, LINDA",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1ST STANDARD,9711,"LARSEN, CHRIS",9:00, ,12:55:00, ,18:25:00, ,20:50:00, ,5:03:00, ,13:24:00, ,21:29:00, ,8:10:00, ,11:33:00, ,6:21:00, ,13:11:00, ,18:31:00, ,23:55:00
,,,"LARSEN, MATT",,67,3:55:00,85,5:30:00,80,2:25:00,74,8:13:00,59,8:21:00,54,8:05:00,73,10:41:00,56,3:23:00,74,18:48:00,28,6:50:00,27,5:20:00,13,5:24:00
,,,"TC - LARSEN, GEORGE",,67,3:55:00,77,9:25:00,80,11:50:00,73,20:03:00,72,28:24:00,66,36:29:00,66,47:10:00,65,50:33:00,68,69:21:00,66,76:11:00,66,81:31:00,61,86:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,7TH C-2,99,"SCHOEPFLIN, JON",9:00, ,12:49:00, ,17:51:00, ,19:35:00, ,23:45:00, ,8:41:00, ,20:16:00, ,7:07:00, ,10:44:00, ,21:36:00, ,10:52:00, ,17:00:00, ,0:02:00
,,,"GREER, STACY",,61,3:49:00,73,5:02:00,66,1:44:00,70,4:10:00,67,8:56:00,71,11:35:00,75,10:51:00,60,3:37:00,56,10:52:00,70,13:16:00,40,6:08:00,28,7:02:00
,,,"TC - CANTU, DANNY",,61,3:49:00,67,8:51:00,66,10:35:00,66,14:45:00,62,23:41:00,64,35:16:00,62,46:07:00,64,49:44:00,62,60:36:00,62,73:52:00,62,80:00:00,62,87:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9TH SOLO,717,"CARLSON, DAVID",9:00, ,13:35:00, ,18:26:00, ,20:20:00, ,6:43:00, ,13:28:00, ,3:21:00, ,9:30:00, ,12:28:00, ,3:13:00, ,11:18:00, ,17:07:00, ,8:10:00
,,,"TC - KING, DICK",,84,4:35:00,68,4:51:00,71,1:54:00,83,10:23:00,45,6:45:00,73,13:53:00,59,6:09:00,50,2:58:00,69,14:45:00,46,8:05:00,37,5:49:00,58,15:03:00
,,,,,84,4:35:00,79,9:26:00,73,11:20:00,78,21:43:00,73,28:28:00,71,42:21:00,68,48:30:00,67,51:28:00,65,66:13:00,63,74:18:00,64,80:07:00,63,95:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10TH NOVICE,10,"HILLER, JOSHUA",9:00, ,13:35:00, ,18:50:00, ,21:37:00, ,7:30:00, ,15:23:00, ,5:37:00, ,12:39:00, ,16:15:00, ,7:02:00, ,14:52:00, ,22:20:00, ,8:11:00
,,,"BAGBY, JAMES (TOM)",,84,4:35:00,81,5:15:00,86,2:47:00,80,9:53:00,57,7:53:00,74,14:14:00,64,7:02:00,59,3:36:00,70,14:47:00,45,7:50:00,55,7:28:00,50,9:51:00
,,,"TC - HILLER, BROOKS",,84,4:35:00,84,9:50:00,85,12:37:00,82,22:30:00,77,30:23:00,72,44:37:00,73,51:39:00,70,55:15:00,69,70:02:00,67,77:52:00,68,85:20:00,64,95:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,11TH  NOVICE,1313,"WEITZ, TIM",9:00, ,13:34:00, ,18:50:00, ,21:35:00, ,8:12:00, ,16:08:00, ,5:37:00, ,13:14:00, ,16:34:00, ,7:17:00, ,15:32:00, ,22:18:00, ,8:34:00
,,,"WEITZ, MARK",,82,4:34:00,82,5:16:00,85,2:45:00,85,10:37:00,58,7:56:00,72,13:29:00,65,7:37:00,55,3:20:00,68,14:43:00,51,8:15:00,50,6:46:00,52,10:16:00
,,,"TC - GLENN, MARTIN",,82,4:34:00,84,9:50:00,84,12:35:00,86,23:12:00,79,31:08:00,73,44:37:00,75,52:14:00,72,55:34:00,70,70:17:00,68,78:32:00,67,85:18:00,65,95:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10TH SOLO,650,"HUNTER, ALLEN",9:00, ,13:53:00, ,19:35:00, ,22:25:00, ,7:59:00, ,17:10:00, ,8:07:00, ,14:10:00, ,17:30:00, ,8:10:00, ,17:02:00, ,4:37:00, ,9:36:00
,,,"TC - EDGAR, STEVE",,91,4:53:00,86,5:42:00,87,2:50:00,76,9:34:00,71,9:11:00,75,14:57:00,55,6:03:00,53,3:20:00,66,14:40:00,56,8:52:00,68,11:35:00,9,4:59:00
,,,,,91,4:53:00,88,10:35:00,87,13:25:00,84,22:59:00,80,32:10:00,76,47:07:00,76,53:10:00,74,56:30:00,72,71:10:00,69,80:02:00,71,91:37:00,66,96:36:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,11TH SOLO,83,"MALOWNEY, ANDREW",9:00, ,12:49:00, ,18:02:00, ,20:07:00, ,7:46:00, ,14:42:00, ,0:12:00, ,10:11:00, ,13:54:00, ,7:47:00, ,17:02:00, ,4:30:00, ,9:47:00
,,,"TC - BLAKELY, MARIA",,61,3:49:00,80,5:13:00,75,2:05:00,86,11:39:00,50,6:56:00,66,9:30:00,72,9:59:00,62,3:43:00,73,17:53:00,59,9:15:00,66,11:28:00,11,5:17:00
,,,,,61,3:49:00,71,9:02:00,69,11:07:00,83,22:46:00,76,29:42:00,68,39:12:00,70,49:11:00,69,52:54:00,71,70:47:00,71,80:02:00,70,91:30:00,67,96:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,12TH SOLO,254,"HENDRICKSON, JOHN",9:00, ,13:49:00, ,19:35:00, ,22:25:00, ,7:59:00, ,17:10:00, ,8:07:00, ,14:10:00, ,17:30:00, ,8:10:00, ,17:02:00, ,4:37:00, ,9:52:00
,,,"TC - THOMAS, BRANDON",,90,4:49:00,88,5:46:00,87,2:50:00,76,9:34:00,71,9:11:00,75,14:57:00,55,6:03:00,53,3:20:00,66,14:40:00,56,8:52:00,68,11:35:00,10,5:15:00
,,,,,90,4:49:00,88,10:35:00,87,13:25:00,84,22:59:00,80,32:10:00,76,47:07:00,76,53:10:00,74,56:30:00,72,71:10:00,69,80:02:00,71,91:37:00,68,96:52:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5TH C-1,42,"GROGAN, MIC",9:00, ,13:13:00, ,18:39:00, ,21:11:00, ,7:18:00, ,15:50:00, ,7:00:00, ,13:05:00, ,16:49:00, ,9:23:00, ,19:31:00, ,4:30:00, ,11:54:00
,,,"TC - HUEBNER, DAN",,75,4:13:00,83,5:26:00,82,2:32:00,81,10:07:00,61,8:32:00,77,15:10:00,58,6:05:00,63,3:44:00,71,16:34:00,65,10:08:00,61,8:59:00,32,7:24:00
