,,,,,,,,,,,,2007 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
37,5th Unlimited,747,"James Neely     
Jay Neely     
John Patterson          
TC - Byron McBurnie",9:00, ,12:15:00, ,16:10:00, ,17:10:00, ,20:34:00, ,2:46:00, ,10:19:00, ,14:55:00, ,17:29:00, ,2:26:00, ,10:29:00, ,14:49:00, ,18:41:00
,,,,,39,3:15:00,43,3:55:00,27,1:00:00,49,3:24:00,46,6:12:00,58,7:33:00,47,4:36:00,49,2:34:00,51,8:57:00,70,8:03:00,24,4:20:00,28,3:52:00
,,,,,39,3:15:00,40,7:10:00,37,8:10:00,42,11:34:00,41,17:46:00,41,25:19:00,42,29:55:00,42,32:29:00,38,41:26:00,41,49:29:00,39,53:49:00,37,57:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1st W Solo,497,"Erin Magee             
TC - Cindy Meurer",9:00, ,12:30:00, ,16:00:00, ,17:00:00, ,20:08:00, ,1:54:00, ,10:18:00, ,14:12:00, ,16:24:00, ,23:35:00, ,4:53:00, ,14:24:00, ,18:53:00
,,,,,53,3:30:00,22,3:30:00,29,1:00:00,41,3:08:00,34,5:46:00,70,8:24:00,24,3:54:00,30,2:12:00,39,7:11:00,25,5:18:00,78,9:31:00,51,4:29:00
,,,,,53,3:30:00,35,7:00:00,33,8:00:00,35,11:08:00,32,16:54:00,40,25:18:00,38,29:12:00,38,31:24:00,33,38:35:00,30,43:53:00,38,53:24:00,38,57:53:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3rd C-2,1950,"Bruce Abbitt            
William Cary           
TC - Mike Fudge",9:00, ,12:17:00, ,16:07:00, ,17:12:00, ,20:11:00, ,3:58:00, ,10:27:00, ,14:50:00, ,17:09:00, ,5:30:00, ,10:33:00, ,14:59:00, ,19:19:00
,,,,,42,3:17:00,40,3:50:00,42,1:05:00,33,2:59:00,60,7:47:00,32,6:29:00,41,4:23:00,34,2:19:00,73,12:21:00,19,5:03:00,25,4:26:00,43,4:20:00
,,,,,42,3:17:00,39,7:07:00,38,8:12:00,37,11:11:00,47,18:58:00,42,25:27:00,41,29:50:00,41,32:09:00,44,44:30:00,42,49:33:00,40,53:59:00,39,58:19:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10th Alum,52,"Paul Black          
Mark Hellinger     
TC - Marion Black",9:00, ,12:19:00, ,16:30:00, ,17:37:00, ,21:28:00, ,4:07:00, ,11:12:00, ,17:08:00, ,19:57:00, ,4:34:00, ,10:07:00, ,14:13:00, ,19:25:00
,,,,,44,3:19:00,59,4:11:00,49,1:07:00,62,3:51:00,50,6:39:00,46,7:05:00,70,5:56:00,57,2:49:00,48,8:37:00,30,5:33:00,17,4:06:00,67,5:12:00
,,,,,44,3:19:00,49,7:30:00,49,8:37:00,52,12:28:00,48,19:07:00,47,26:12:00,48,32:08:00,47,34:57:00,40,43:34:00,39,49:07:00,36,53:13:00,40,58:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10th Solo,1567,"Ken Startz            
TC - Kevin Startz",9:00, ,12:33:00, ,16:40:00, ,18:15:00, ,23:32:00, ,8:15:00, ,14:12:00, ,18:28:00, ,20:51:00, ,7:55:00, ,12:18:00, ,16:00:00, ,19:41:00
,,,,,56,3:33:00,56,4:07:00,85,1:35:00,75,5:17:00,70,8:43:00,26,5:57:00,38,4:16:00,40,2:23:00,67,11:04:00,5,4:23:00,10,3:42:00,25,3:41:00
,,,,,56,3:33:00,53,7:40:00,59,9:15:00,75,14:32:00,66,23:15:00,57,29:12:00,53,33:28:00,50,35:51:00,50,46:55:00,47,51:18:00,43,55:00:00,41,58:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6th Unlimited,314,"Jeff Glock         
Sammy Prochaska   
William Russell     
Andrew Soles        
Andrew Stephens   
Jeff Wueste          
TC - Jimmy Harvey",9:00, ,13:56:00, ,17:16:00, ,18:06:00, ,21:10:00, ,3:17:00, ,9:02:00, ,12:36:00, ,15:10:00, ,20:30:00, ,5:05:00, ,15:48:00, ,19:50:00
,,,,,93,4:56:00,14,3:20:00,6,0:50:00,38,3:04:00,44,6:07:00,25,5:45:00,14,3:34:00,48,2:34:00,17,5:20:00,73,8:35:00,80,10:43:00,37,4:02:00
,,,,,93,4:56:00,63,8:16:00,56,9:06:00,49,12:10:00,43,18:17:00,36,24:02:00,33,27:36:00,33,30:10:00,28,35:30:00,31,44:05:00,41,54:48:00,42,58:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5th Tandem,77,"Kent Harlan    
James Ward            
TC - Sean Harlan",9:00, ,12:13:00, ,16:15:00, ,17:25:00, ,21:15:00, ,3:26:00, ,12:41:00, ,17:30:00, ,20:13:00, ,4:57:00, ,10:28:00, ,15:50:00, ,20:11:00
,,,,,36,3:13:00,50,4:02:00,51,1:10:00,59,3:50:00,45,6:11:00,74,9:15:00,53,4:49:00,54,2:43:00,49,8:44:00,29,5:31:00,49,5:22:00,44,4:21:00
,,,,,36,3:13:00,44,7:15:00,43,8:25:00,50,12:15:00,44,18:26:00,50,27:41:00,50,32:30:00,48,35:13:00,41,43:57:00,40,49:28:00,42,54:50:00,43,59:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11th Solo,6040,"Bonner Scott       
TC - Bob Scott",9:00, ,12:05:00, ,15:53:00, ,17:08:00, ,20:34:00, ,2:33:00, ,10:50:00, ,16:04:00, ,18:23:00, ,5:02:00, ,11:02:00, ,16:06:00, ,20:28:00
,,,,,32,3:05:00,37,3:48:00,68,1:15:00,50,3:26:00,39,5:59:00,69,8:17:00,61,5:14:00,35,2:19:00,62,10:39:00,39,6:00:00,41,5:04:00,45,4:22:00
,,,,,32,3:05:00,33,6:53:00,36,8:08:00,42,11:34:00,38,17:33:00,44,25:50:00,43,31:04:00,43,33:23:00,42,44:02:00,43,50:02:00,44,55:06:00,44,59:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12th Solo,1954,"Michael Musselman 
TC - Judy Musselman",9:00, ,12:23:00, ,16:11:00, ,17:25:00, ,20:33:00, ,2:33:00, ,10:46:00, ,16:05:00, ,18:23:00, ,5:02:00, ,11:02:00, ,16:06:00, ,20:28:00
,,,,,49,3:23:00,38,3:48:00,67,1:14:00,40,3:08:00,40,6:00:00,68,8:13:00,63,5:19:00,33,2:18:00,62,10:39:00,39,6:00:00,41,5:04:00,45,4:22:00
,,,,,49,3:23:00,42,7:11:00,43,8:25:00,41,11:33:00,38,17:33:00,43,25:46:00,44,31:05:00,43,33:23:00,42,44:02:00,43,50:02:00,44,55:06:00,44,59:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13th Solo,529,"John Cordell          
TC - Mark Hickman",9:00, ,12:17:00, ,16:21:00, ,17:28:00, ,20:46:00, ,4:39:00, ,11:03:00, ,16:19:00, ,18:48:00, ,6:07:00, ,12:01:00, ,16:39:00, ,20:55:00
,,,,,42,3:17:00,52,4:04:00,46,1:07:00,46,3:18:00,61,7:53:00,31,6:24:00,62,5:16:00,43,2:29:00,69,11:19:00,36,5:54:00,29,4:38:00,41,4:16:00
,,,,,42,3:17:00,46,7:21:00,46,8:28:00,44,11:46:00,49,19:39:00,46,26:03:00,45,31:19:00,45,33:48:00,47,45:07:00,46,51:01:00,46,55:39:00,46,59:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5th Mixed,1722,"Moe LaForrest     
Melissa Maedgen     
TC - Ginsie Stauss",9:00, ,12:28:00, ,16:34:00, ,17:32:00, ,20:49:00, ,3:40:00, ,9:51:00, ,14:27:00, ,16:56:00, ,5:41:00, ,11:49:00, ,18:00:00, ,21:55:00
,,,,,52,3:28:00,55,4:06:00,23,0:58:00,44,3:17:00,53,6:51:00,27,6:11:00,46,4:36:00,45,2:29:00,75,12:45:00,46,6:08:00,64,6:11:00,32,3:55:00
,,,,,52,3:28:00,51,7:34:00,48,8:32:00,45,11:49:00,45,18:40:00,38,24:51:00,39,29:27:00,40,31:56:00,45,44:41:00,45,50:49:00,47,57:00:00,47,60:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7th Unlimited,1776,"Timothy Chamberlain 
Alex Kelly     
William Sykes      
James Dauman (DNF)       Simon Mills (DNF)    
TC - Simon West",9:00, ,13:09:00, ,17:30:00, ,18:31:00, ,22:12:00, ,6:50:00, ,14:18:00, ,19:39:00, ,22:37:00, ,7:53:00, ,13:57:00, ,19:20:00, ,0:09:00
,,,,,79,4:09:00,63,4:21:00,33,1:01:00,54,3:41:00,68,8:38:00,57,7:28:00,65,5:21:00,61,2:58:00,55,9:16:00,44,6:04:00,50,5:23:00,60,4:49:00
,,,,,79,4:09:00,72,8:30:00,67,9:31:00,57,13:12:00,56,21:50:00,58,29:18:00,61,34:39:00,58,37:37:00,49,46:53:00,50,52:57:00,50,58:20:00,48,63:09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6th Tandem,321,"Will Kier            
Alan Pickett             
TC - Dan Pickett",9:00, ,13:04:00, ,17:27:00, ,18:50:00, ,22:40:00, ,7:01:00, ,14:45:00, ,19:25:00, ,22:05:00, ,7:57:00, ,15:18:00, ,19:56:00, ,0:31:00
,,,,,73,4:04:00,65,4:23:00,79,1:23:00,61,3:50:00,66,8:21:00,60,7:44:00,49,4:40:00,52,2:40:00,59,9:52:00,64,7:21:00,30,4:38:00,55,4:35:00
,,,,,73,4:04:00,69,8:27:00,72,9:50:00,65,13:40:00,59,22:01:00,62,29:45:00,59,34:25:00,56,37:05:00,51,46:57:00,53,54:18:00,51,58:56:00,49,63:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,14th Solo,711,"Dirk Davidek      
TC - Sprague Marvin",9:00, ,12:37:00, ,17:16:00, ,18:28:00, ,22:19:00, ,4:56:00, ,12:42:00, ,17:25:00, ,20:53:00, ,8:00:00, ,14:35:00, ,20:15:00, ,0:41:00
,,,,,58,3:37:00,75,4:39:00,60,1:12:00,63,3:51:00,49,6:37:00,62,7:46:00,51,4:43:00,68,3:28:00,68,11:07:00,54,6:35:00,56,5:40:00,49,4:26:00
,,,,,58,3:37:00,63,8:16:00,65,9:28:00,58,13:19:00,50,19:56:00,51,27:42:00,49,32:25:00,51,35:53:00,52,47:00:00,51,53:35:00,52,59:15:00,50,63:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2nd Novice,127,"Cody Ackerman    
Matt Persyn        
TC - James Fischer",9:00, ,12:22:00, ,16:30:00, ,17:47:00, ,20:56:00, ,5:35:00, ,12:52:00, ,17:52:00, ,20:30:00, ,5:43:00, ,13:10:00, ,19:10:00, ,1:01:00
,,,,,48,3:22:00,57,4:08:00,73,1:17:00,42,3:09:00,69,8:39:00,54,7:17:00,58,5:00:00,51,2:38:00,54,9:13:00,65,7:27:00,59,6:00:00,74,5:51:00
,,,,,48,3:22:00,49,7:30:00,51,8:47:00,48,11:56:00,53,20:35:00,52,27:52:00,51,32:52:00,49,35:30:00,46,44:43:00,49,52:10:00,48,58:10:00,51,64:01:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3rd Novice,3314,"Trevor Crone   
David Walker      
TC - Sandie Walker",9:00, ,12:44:00, ,17:12:00, ,18:27:00, ,23:57:00, ,7:20:00, ,17:36:00, ,22:48:00, ,1:38:00, ,9:50:00, ,15:57:00, ,20:40:00, ,1:25:00
,,,,,62,3:44:00,69,4:28:00,68,1:15:00,76,5:30:00,56,7:23:00,78,10:16:00,60,5:12:00,59,2:50:00,45,8:12:00,45,6:07:00,33,4:43:00,58,4:45:00
,,,,,62,3:44:00,62,8:12:00,64,9:27:00,76,14:57:00,62,22:20:00,68,32:36:00,68,37:48:00,63,40:38:00,55,48:50:00,55,54:57:00,54,59:40:00,52,64:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,15th Solo,116,"Tim Curry             
TC - Faylon Curry",9:00, ,12:39:00, ,16:35:00, ,18:06:00, ,21:56:00, ,7:49:00, ,17:33:00, ,21:54:00, ,0:34:00, ,10:24:00, ,16:45:00, ,21:59:00, ,1:39:00
,,,,,59,3:39:00,45,3:56:00,83,1:31:00,59,3:50:00,77,9:53:00,75,9:44:00,39,4:21:00,53,2:40:00,58,9:50:00,51,6:21:00,44,5:14:00,21,3:40:00
,,,,,59,3:39:00,52,7:35:00,56,9:06:00,55,12:56:00,63,22:49:00,67,32:33:00,65,36:54:00,61,39:34:00,60,49:24:00,58,55:45:00,58,60:59:00,53,64:39:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4th Novice,2912,"Brian Moga     
Dave Turner        
TC - Leon Gyganowski",9:00, ,12:54:00, ,17:24:00, ,18:35:00, ,22:33:00, ,6:52:00, ,13:59:00, ,18:37:00, ,21:38:00, ,10:15:00, ,16:29:00, ,21:15:00, ,1:47:00
,,,,,67,3:54:00,70,4:30:00,55,1:11:00,66,3:58:00,65,8:19:00,47,7:07:00,48,4:38:00,62,3:01:00,74,12:37:00,48,6:14:00,35,4:46:00,54,4:32:00
,,,,,67,3:54:00,67,8:24:00,68,9:35:00,63,13:33:00,57,21:52:00,55,28:59:00,55,33:37:00,54,36:38:00,59,49:15:00,57,55:29:00,55,60:15:00,54,64:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8th Unlimited,220,"Alex West     
Eric West       
Owen West           
TC - David West",9:00, ,12:55:00, ,17:03:00, ,18:26:00, ,22:20:00, ,7:12:00, ,14:21:00, ,19:45:00, ,22:22:00, ,8:11:00, ,14:53:00, ,20:20:00, ,2:09:00
,,,,,68,3:55:00,58,4:08:00,79,1:23:00,64,3:54:00,71,8:52:00,49,7:09:00,66,5:24:00,50,2:37:00,57,9:49:00,56,6:42:00,53,5:27:00,73,5:49:00
,,,,,68,3:55:00,61,8:03:00,62,9:26:00,59,13:20:00,61,22:12:00,60,29:21:00,62,34:45:00,57,37:22:00,53,47:11:00,52,53:53:00,53,59:20:00,55,65:09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5th Novice,881,"Michael Vandeveer  
Tim Vandeveer          
TC - Richard Summer",9:00, ,13:08:00, ,17:29:00, ,18:46:00, ,22:31:00, ,6:52:00, ,14:00:00, ,19:30:00, ,21:52:00, ,10:05:00, ,16:05:00, ,21:20:00, ,2:26:00
,,,,,78,4:08:00,64,4:21:00,72,1:17:00,58,3:45:00,66,8:21:00,48,7:08:00,68,5:30:00,38,2:22:00,72,12:13:00,38,6:00:00,45,5:15:00,65,5:06:00
,,,,,78,4:08:00,71,8:29:00,71,9:46:00,62,13:31:00,57,21:52:00,56,29:00:00,60,34:30:00,55,36:52:00,58,49:05:00,56,55:05:00,56,60:20:00,56,65:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,7th Tandem,4445,"Charile Stewart  
Nate Stewart             
TC - Roger Nelson",9:00, ,11:52:00, ,15:28:00, ,16:28:00, ,19:45:00, ,5:19:00, ,13:53:00, ,18:05:00, ,22:48:00, ,7:05:00, ,13:07:00, ,19:17:00, ,2:44:00
,,,,,20,2:52:00,28,3:36:00,26,1:00:00,45,3:17:00,74,9:34:00,71,8:34:00,35,4:12:00,74,4:43:00,46,8:17:00,42,6:02:00,62,6:10:00,80,7:27:00
,,,,,20,2:52:00,23,6:28:00,23,7:28:00,29,10:45:00,52,20:19:00,54,28:53:00,52,33:05:00,59,37:48:00,48,46:05:00,48,52:07:00,49,58:17:00,57,65:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6th Novice,903,"Cody Cofer      
Clayton Smith      
TC - Bobby Smith",9:00, ,12:46:00, ,17:16:00, ,18:26:00, ,22:05:00, ,6:16:00, ,13:50:00, ,18:56:00, ,2:20:00, ,9:55:00, ,17:22:00, ,22:10:00, ,4:50:00
,,,,,63,3:46:00,70,4:30:00,51,1:10:00,53,3:39:00,64,8:11:00,59,7:34:00,59,5:06:00,77,7:24:00,40,7:35:00,66,7:27:00,36,4:48:00,78,6:40:00
,,,,,63,3:46:00,63,8:16:00,62,9:26:00,56,13:05:00,55,21:16:00,53,28:50:00,58,33:56:00,64,41:20:00,57,48:55:00,59,56:22:00,59,61:10:00,58,67:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2nd C-1,84,"Jordan Mills      
TC - Lucy Southard",9:00, ,12:30:00, ,16:50:00, ,18:05:00, ,21:36:00, ,3:40:00, ,12:16:00, ,18:41:00, ,21:28:00, ,9:35:00, ,17:22:00, ,23:50:00, ,5:04:00
,,,,,53,3:30:00,62,4:20:00,68,1:15:00,51,3:31:00,43,6:04:00,72,8:36:00,72,6:25:00,55,2:47:00,71,12:07:00,68,7:47:00,65,6:28:00,68,5:14:00
,,,,,53,3:30:00,56,7:50:00,53,9:05:00,53,12:36:00,45,18:40:00,48,27:16:00,56,33:41:00,53,36:28:00,54,48:35:00,59,56:22:00,62,62:50:00,59,68:04:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,16th Solo,639,"Zoltan Mraz      
TC - Marc McCord",9:00, ,12:08:00, ,15:53:00, ,17:05:00, ,20:05:00, ,2:48:00, ,10:53:00, ,16:24:00, ,18:56:00, ,11:05:00, ,18:10:00, ,22:55:00, ,5:26:00
,,,,,33,3:08:00,35,3:45:00,60,1:12:00,34,3:00:00,51,6:43:00,66,8:05:00,69,5:31:00,46,2:32:00,80,16:09:00,60,7:05:00,34,4:45:00,77,6:31:00
,,,,,33,3:08:00,33,6:53:00,35,8:05:00,34,11:05:00,42,17:48:00,45,25:53:00,46,31:24:00,46,33:56:00,61,50:05:00,62,57:10:00,60,61:55:00,60,68:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,17th Solo,1991,"Dustin Miracle  
TC - Donnie Dobry",9:00, ,12:27:00, ,17:01:00, ,18:13:00, ,23:08:00, ,9:16:00, ,17:00:00, ,21:44:00, ,0:53:00, ,11:41:00, ,18:17:00, ,23:44:00, ,5:30:00
,,,,,51,3:27:00,73,4:34:00,62,1:12:00,74,4:55:00,79,10:08:00,60,7:44:00,52,4:44:00,65,3:09:00,64,10:48:00,55,6:36:00,53,5:27:00,72,5:46:00
,,,,,51,3:27:00,60,8:01:00,58,9:13:00,72,14:08:00,70,24:16:00,66,32:00:00,64,36:44:00,62,39:53:00,63,50:41:00,64,57:17:00,61,62:44:00,61,68:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,11th Alum,5860,"Fabio Aloisio         
John Edwards          
TC - Noir Edwards",9:00, ,12:51:00, ,16:54:00, ,18:05:00, ,21:25:00, ,8:04:00, ,14:44:00, ,18:50:00, ,6:29:00, ,12:50:00, ,18:31:00, ,2:15:00, ,6:22:00
,,,,,65,3:51:00,51,4:03:00,57,1:11:00,47,3:20:00,80,10:39:00,40,6:40:00,30,4:06:00,82,11:39:00,30,6:21:00,33,5:41:00,71,7:44:00,39,4:07:00
,,,,,65,3:51:00,58,7:54:00,53,9:05:00,51,12:25:00,65,23:04:00,61,29:44:00,57,33:50:00,67,45:29:00,66,51:50:00,65,57:31:00,64,65:15:00,62,69:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7th Novice,2112,"Mic Grogan      
Mike Smith     
TC - Melissa Grogan",9:00, ,12:33:00, ,16:45:00, ,17:56:00, ,22:23:00, ,7:57:00, ,14:20:00, ,18:34:00, ,5:43:00, ,12:38:00, ,18:16:00, ,1:50:00, ,6:35:00
,,,,,56,3:33:00,60,4:12:00,57,1:11:00,73,4:27:00,73,9:34:00,29,6:23:00,36,4:14:00,81,11:09:00,33,6:55:00,32,5:38:00,70,7:34:00,58,4:45:00
,,,,,56,3:33:00,54,7:45:00,52,8:56:00,60,13:23:00,64,22:57:00,59,29:20:00,54,33:34:00,66,44:43:00,64,51:38:00,63,57:16:00,63,64:50:00,63,69:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,9th Unlimited,199,"Lorne Brandt       
Jerry Cowart      
Gilbert Garza    
William Snyder         
TC - Coby Phillips",9:00, ,13:47:00, ,17:47:00, ,18:57:00, ,22:41:00, ,5:13:00, ,12:27:00, ,17:01:00, ,21:04:00, ,9:51:00, ,15:35:00, ,21:37:00, ,7:05:00
,,,,,89,4:47:00,47,4:00:00,50,1:10:00,56,3:44:00,48,6:32:00,51,7:14:00,45,4:34:00,69,4:03:00,76,12:47:00,34,5:44:00,60,6:02:00,81,9:28:00
,,,,,89,4:47:00,76,8:47:00,78,9:57:00,66,13:41:00,51,20:13:00,49,27:27:00,47,32:01:00,52,36:04:00,56,48:51:00,54,54:35:00,57,60:37:00,64,70:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,12th Alum,420,"Daniel Huebner      
Anthony Stephenson   
TC - Kimberly Huebner",9:00, ,12:31:00, ,17:20:00, ,18:30:00, ,22:49:00, ,10:45:00, ,18:33:00, ,23:30:00, ,7:01:00, ,16:54:00, ,22:23:00, ,3:46:00, ,7:30:00
,,,,,55,3:31:00,83,4:49:00,51,1:10:00,71,4:19:00,83,11:56:00,63,7:48:00,56,4:57:00,78,7:31:00,60,9:53:00,28,5:29:00,51,5:23:00,26,3:44:00
,,,,,55,3:31:00,66,8:20:00,66,9:30:00,69,13:49:00,72,25:45:00,70,33:33:00,69,38:30:00,68,46:01:00,73,55:54:00,66,61:23:00,65,66:46:00,65,70:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,18th Solo,62,"Doug Rhude    
TC - Lee Rhude",9:00, ,12:14:00, ,16:18:00, ,17:24:00, ,21:49:00, ,8:38:00, ,15:57:00, ,19:57:00, ,0:31:00, ,11:10:00, ,17:33:00, ,6:04:00, ,9:22:00
,,,,,38,3:14:00,52,4:04:00,44,1:06:00,72,4:25:00,82,10:49:00,56,7:19:00,27,4:00:00,73,4:34:00,61,10:39:00,52,6:23:00,81,12:31:00,11,3:18:00
,,,,,38,3:14:00,45,7:18:00,42,8:24:00,54,12:49:00,68,23:38:00,63,30:57:00,63,34:57:00,60,39:31:00,62,50:10:00,61,56:33:00,66,69:04:00,66,72:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,8th Novice,8211,"Brent Canady      
Chris Larocque         
TC - John Larocque",9:00, ,12:42:00, ,17:26:00, ,18:37:00, ,22:38:00, ,8:25:00, ,16:30:00, ,21:54:00, ,7:01:00, ,16:08:00, ,0:48:00, ,6:04:00, ,9:38:00
,,,,,61,3:42:00,79,4:44:00,57,1:11:00,67,4:01:00,76,9:47:00,66,8:05:00,66,5:24:00,80,9:07:00,53,9:07:00,74,8:40:00,46,5:16:00,17,3:34:00
,,,,,61,3:42:00,68,8:26:00,69,9:37:00,64,13:38:00,67,23:25:00,65,31:30:00,65,36:54:00,69,46:01:00,71,55:08:00,71,63:48:00,67,69:04:00,67,72:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9th Novice,3742,"James Ward     
Duncan Spencer  
TC - Charleen Dowell",9:00, ,13:19:00, ,18:05:00, ,19:32:00, ,23:15:00, ,7:10:00, ,17:40:00, ,22:38:00, ,4:12:00, ,12:45:00, ,0:30:00, ,7:11:00, ,11:18:00
,,,,,85,4:19:00,80,4:46:00,81,1:27:00,55,3:43:00,62,7:55:00,79,10:30:00,57,4:58:00,75,5:34:00,47,8:33:00,77,11:45:00,67,6:41:00,40,4:07:00
,,,,,85,4:19:00,85,9:05:00,84,10:32:00,74,14:15:00,60,22:10:00,69,32:40:00,67,37:38:00,65,43:12:00,65,51:45:00,70,63:30:00,68,70:11:00,68,74:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3rd C-1,1417,"James Wright     
TC - Thomas Narvarte",9:00, ,13:17:00, ,17:57:00, ,19:15:00, ,4:29:00, ,12:07:00, ,18:58:00, ,4:03:00, ,8:24:00, ,15:29:00, ,22:41:00, ,7:49:00, ,11:46:00
,,,,,83,4:17:00,76,4:40:00,76,1:18:00,80,9:14:00,58,7:38:00,42,6:51:00,74,9:05:00,72,4:21:00,36,7:05:00,62,7:12:00,75,9:08:00,35,3:57:00
,,,,,83,4:17:00,84,8:57:00,83,10:15:00,81,19:29:00,75,27:07:00,74,33:58:00,71,43:03:00,72,47:24:00,68,54:29:00,67,61:41:00,69,70:49:00,69,74:46:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1st W C-1,210,"Ann Best              
TC - Teddy Gray",9:00, ,13:17:00, ,18:23:00, ,19:51:00, ,1:30:00, ,12:15:00, ,19:13:00, ,4:03:00, ,8:19:00, ,15:29:00, ,22:41:00, ,7:50:00, ,11:47:00
,,,,,83,4:17:00,88,5:06:00,82,1:28:00,77,5:39:00,81,10:45:00,44,6:58:00,73,8:50:00,70,4:16:00,38,7:10:00,62,7:12:00,76,9:09:00,33,3:57:00
,,,,,83,4:17:00,86,9:23:00,86,10:51:00,77,16:30:00,76,27:15:00,75,34:13:00,71,43:03:00,71,47:19:00,68,54:29:00,67,61:41:00,70,70:50:00,70,74:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10th Novice,7174,"Chad Brawner      
Justin Collett        
TC - Mark Trevino",9:00, ,12:47:00, ,16:47:00, ,18:05:00, ,6:53:00, ,12:53:00, ,19:37:00, ,6:18:00, ,8:43:00, ,15:47:00, ,22:41:00, ,7:56:00, ,11:48:00
,,,,,64,3:47:00,47,4:00:00,75,1:18:00,88,12:48:00,40,6:00:00,41,6:44:00,78,10:41:00,42,2:25:00,35,7:04:00,59,6:54:00,77,9:15:00,29,3:52:00
,,,,,64,3:47:00,55,7:47:00,53,9:05:00,86,21:53:00,80,27:53:00,76,34:37:00,73,45:18:00,73,47:43:00,70,54:47:00,67,61:41:00,71,70:56:00,71,74:48:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,10th Unlimited,2727,"Joseph Ball   
Iain MacGregor    
Jeff Parker          
TC - Janet Parker",9:00, ,12:41:00, ,17:00:00, ,18:22:00, ,3:47:00, ,10:36:00, ,18:34:00, ,23:30:00, ,7:56:00, ,14:53:00, ,4:15:00, ,9:21:00, ,12:41:00
,,,,,60,3:41:00,61,4:19:00,78,1:22:00,81,9:25:00,52,6:49:00,65,7:58:00,55,4:56:00,79,8:26:00,34,6:57:00,78,13:22:00,43,5:06:00,12,3:20:00
,,,,,60,3:41:00,59,8:00:00,60,9:22:00,80,18:47:00,71,25:36:00,71,33:34:00,70,38:30:00,70,46:56:00,67,53:53:00,72,67:15:00,72,72:21:00,72,75:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,8th Tandem,46,"Norm Reynolds     
Michael Reynolds      
TC - Brad Boucher",9:00, ,12:57:00, ,16:52:00, ,18:24:00, ,6:15:00, ,12:16:00, ,18:37:00, ,6:31:00, ,9:19:00, ,16:25:00, ,5:54:00, ,10:08:00, ,14:02:00
,,,,,69,3:57:00,43,3:55:00,84,1:32:00,85,11:51:00,42,6:01:00,28,6:21:00,79,11:54:00,56,2:48:00,37,7:06:00,79,13:29:00,19,4:14:00,31,3:54:00
,,,,,69,3:57:00,57,7:52:00,61,9:24:00,83,21:15:00,77,27:16:00,72,33:37:00,75,45:31:00,74,48:19:00,72,55:25:00,73,68:54:00,73,73:08:00,73,77:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2nd Standard,3895,"Kelly Cohen   
Karl Frey              
TC - Ed Langley",9:00, ,13:01:00, ,17:49:00, ,18:54:00, ,6:44:00, ,12:59:00, ,20:15:00, ,8:12:00, ,11:14:00, ,3:36:00, ,10:10:00, ,14:30:00, ,19:13:00
